Brand,Model,CPU,RAM (GB),Storage (GB),GPU,Purpose,Price ($),Screen (in),OS,Weight (kg),Battery Life (hrs),Release Year,Color
Asus,Asus ROG Strix G15,AMD Ryzen 9,16,512,NVIDIA RTX 3060,Gaming,1599,15.6,Windows 10,2,9,2023,Red/Black
Acer,Acer Predator Helios 300,Intel i7,16,1024,NVIDIA RTX 3070,Gaming,1799.99,15.6,Windows 11,2.1,8,2024,Black
Microsoft,Surface Laptop 4,Intel i7,16,512,Intel Iris Xe,Professional,1499,13.5,Windows 11,1.3,11,2023,Platinum
Razer,Razer Blade 15,Intel i7,16,1000,NVIDIA RTX 3080,Gaming,2399.99,15.6,Windows 11,2,7,2024,Green/Black
Samsung,Samsung Galaxy Book Pro,Intel i5,8,512,Intel Iris Xe,Everyday Use,999.99,15.6,Windows 11,1,14,2023,Mystic Silver
MSI,MSI GE76 Raider,Intel i9,32,2048,NVIDIA RTX 3070,Gaming,2199.99,17.3,Windows 11,2.5,6,2024,Black
Toshiba,Toshiba Dynabook Tecra A50,Intel i5,8,256,Intel UHD Graphics,Business,799.99,15.6,Windows 10,1.4,10,2023,Silver
LG,LG Gram 17,Intel i7,16,512,Intel Iris Xe,Professional,1799,17,Windows 11,1.35,19,2024,White
Huawei,Huawei MateBook X Pro,Intel i7,16,512,NVIDIA MX250,Professional,1599,13.9,Windows 10,1.3,12,2023,Space Gray
Lenovo,Lenovo Legion 5i,Intel i7,16,1024,NVIDIA RTX 3060,Gaming,1699,15.6,Windows 11,2.3,7,2023,Black
MSI,MSI GF63 Thin,Intel i5,8,512,NVIDIA GTX 1650,Gaming,949.99,15.6,Windows 11,1.86,8,2023,Black
ASUS,ASUS ZenBook 14,Intel i7,16,512,Intel Iris Xe,Professional,1399,14,Windows 11,1.1,13,2023,Slate Gray
Alienware,Alienware X17,Intel i9,32,1024,NVIDIA RTX 3080,Gaming,2599,17.3,Windows 11,2.5,6,2024,Lunar Light
Samsung,Samsung Notebook Odyssey,Intel i7,16,512,NVIDIA GTX 1650,Gaming,1299.99,15.6,Windows 10,2.2,7,2023,Black
Gigabyte,Gigabyte Aero 15,Intel i7,16,512,NVIDIA RTX 2060,Professional,1799.99,15.6,Windows 10,2,8,2023,Silver
Lenovo,Lenovo IdeaPad Flex 5,AMD Ryzen 5,16,512,Integrated Vega,Casual Use,799.99,14,Windows 11,1.5,10,2023,Platinum
HP,HP Envy x360,Intel i5,8,512,Intel Iris Xe,Office Work,849.99,13.3,Windows 11,1.3,11,2023,Nightfall Black
Dell,Dell Latitude 7420,Intel i7,16,512,Intel Iris Xe,Business,1399.99,14,Windows 10 Pro,1.3,14,2023,Silver
ASUS,ASUS TUF Dash F15,Intel i7,16,1024,NVIDIA RTX 3060,Gaming,1799,15.6,Windows 11,2,8,2023,Black
HP,HP Pavilion 15,Intel i5,8,512,Intel UHD Graphics,Everyday Use,749.99,15.6,Windows 10,1.7,10,2023,Silver
Microsoft,Surface Pro 9,Intel i5,16,256,Intel Iris Xe,Portability,1299.99,13,Windows 11,0.9,13,2024,Platinum
Dell,Dell XPS 13 Plus,Intel i7,32,1000,Intel Iris Xe,Development,1999.99,13.4,Windows 11,1.2,12,2024,Graphite
Apple,MacBook Air M2,Apple M2,8,512,Apple GPU,Student Use,1199,13.6,macOS,1.2,15,2024,Midnight
Lenovo,Yoga 9i Gen 8,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1499.99,14,Windows 11,1.4,14,2024,Oatmeal
ASUS,Vivobook S 15 OLED,Intel i9,16,1000,NVIDIA RTX 3050,Content Creation,1699,15.6,Windows 11,1.8,9,2024,Cool Silver
Acer,Swift X 14,AMD Ryzen 7,16,512,NVIDIA RTX 3050,Graphic Design,1149,14,Windows 11,1.39,12,2024,Steel Gray
MSI,Creator Z16 HX Studio,Intel i9,32,2000,NVIDIA RTX 4070,3D Rendering,2999,16,Windows 11 Pro,2.35,7,2024,Lunar Gray
Samsung,Galaxy Book3 Ultra,Intel i7,32,1000,NVIDIA RTX 4050,High-End Work,2499.99,16,Windows 11,1.8,14,2024,Graphite
HP,Omen Transcend 16,Intel i7,32,1000,NVIDIA RTX 4070,Gaming/Workstation,2099.99,16.1,Windows 11,2.1,8,2024,Shadow Black
Gigabyte,G5 KF,Intel i5,16,512,NVIDIA RTX 4060,Mid-Level Gaming,999.99,15.6,Windows 11,2,9,2024,Charcoal Gray
LG,Gram 17,Intel i7,32,1000,Intel Iris Xe,Productivity,1799,17,Windows 11,1.35,18,2024,White
Razer,Blade 14,AMD Ryzen 9,16,1000,NVIDIA RTX 4070,Gaming,2699,14,Windows 11,1.78,10,2024,Black
Microsoft,Surface Laptop Studio 2,Intel i7,32,1000,NVIDIA RTX 4050,Creative Work,2399,14.4,Windows 11,1.89,12,2024,Platinum
Lenovo,Legion Pro 7i Gen 9,Intel i9,32,2000,NVIDIA RTX 4080,High-End Gaming,3199.99,16,Windows 11,2.5,6,2024,Storm Grey
ASUS,ROG Zephyrus G14,AMD Ryzen 9,32,1000,NVIDIA RTX 4060,Gaming/Design,1999,14,Windows 11,1.65,11,2024,Eclipse Gray
HP,Spectre x360 14,Intel i7,16,1000,Intel Iris Xe,2-in-1 Work,1649,13.5,Windows 11,1.34,13,2024,Nightfall Black
MSI,Stealth 16 Studio,Intel i7,32,2000,NVIDIA RTX 4070,Gaming/Workstation,2799,16,Windows 11 Pro,1.99,9,2024,Star Blue
Acer,Predator Helios 16,Intel i9,32,2000,NVIDIA RTX 4080,Hardcore Gaming,3299,16,Windows 11,2.6,6,2024,Abyssal Black
Apple,"MacBook Pro M3 Max 16""",Apple M3 Max,64,2000,Apple GPU (40-core),Professional Use,4199,16.2,macOS,2.2,17,2024,Space Black
Gigabyte,AERO 16 OLED,Intel i9,32,1000,NVIDIA RTX 4070,Content Creation,2499,16,Windows 11,2.1,8,2024,Silver
ASUS,TUF Gaming A15,AMD Ryzen 7,16,1000,NVIDIA RTX 4060,Gaming,1199,15.6,Windows 11,2.2,8,2024,Mecha Gray
HP,EliteBook 840 G10,Intel i7,16,512,Intel Iris Xe,Business,1449,14,Windows 11 Pro,1.35,13,2024,Natural Silver
Dell,Inspiron 16 Plus,Intel i7,32,1000,NVIDIA RTX 3060,Productivity,1549,16,Windows 11,2,11,2024,Platinum Silver
Lenovo,ThinkPad X1 Carbon Gen 11,Intel i7,16,512,Intel Iris Xe,Business/Travel,1899,14,Windows 11,1.13,15,2024,Black
Samsung,Galaxy Book3 Pro 360,Intel i7,16,1000,Intel Iris Xe,2-in-1 Productivity,1799.99,16,Windows 11,1.6,16,2024,Graphite
Acer,Aspire Vero AV15,Intel i5,16,512,Intel Iris Xe,Eco-Friendly Use,899,15.6,Windows 11,1.8,11,2024,Cobblestone Gray
MSI,Prestige 13 Evo,Intel i7,32,1000,Intel Iris Xe,Lightweight Use,1399,13.3,Windows 11,0.99,12,2024,Pure White
Apple,MacBook Air M3,Apple M3,8,256,Apple GPU,Student/General Use,1099,13.6,macOS,1.2,15,2024,Silver
LG,UltraPC 16,AMD Ryzen 7,16,512,AMD Radeon Graphics,General Use,1099,16,Windows 11,1.6,12,2024,Charcoal Gray
Gigabyte,G7 KE Gaming Laptop,Intel i5,16,512,NVIDIA RTX 3060,Entry-Level Gaming,1099,17.3,Windows 11,2.4,7,2024,Black
ASUS,Zenbook S 13 OLED,AMD Ryzen 7,16,1000,AMD Radeon Graphics,Ultraportable Work,1349,13.3,Windows 11,1,14,2024,Basalt Gray
Lenovo,Yoga 9i Gen 8,Intel i7,16,1000,Intel Iris Xe,2-in-1 Premium Use,1899,14,Windows 11,1.4,15,2024,Oatmeal
HP,Omen 17,Intel i9,32,2000,NVIDIA RTX 4080,High-End Gaming,3199,17.3,Windows 11,2.8,6,2024,Shadow Black
Dell,XPS 17 9730,Intel i7,32,2000,NVIDIA RTX 4070,Creative/Editing,3099,17,Windows 11,2.2,9,2024,Platinum Silver
Acer,Swift Go 14 OLED,Intel i5,16,512,Intel Iris Xe,Portable Office Use,899,14,Windows 11,1.25,13,2024,Mist Green
Microsoft,Surface Laptop Go 3,Intel i5,8,256,Intel UHD Graphics,Budget Work/Study,799,12.4,Windows 11,1.13,11,2024,Ice Blue
MSI,Raider GE78 HX,Intel i9,64,2000,NVIDIA RTX 4090,Extreme Gaming,4499,17,Windows 11 Pro,3.1,5,2024,Titanium Blue
Apple,"MacBook Pro M3 Pro 14""",Apple M3 Pro,36,1000,Apple GPU (18-core),Developer/Design,2599,14.2,macOS,1.6,18,2024,Silver
LG,Gram Style 16,Intel i7,32,1000,Intel Iris Xe,Stylish Productivity,1999,16,Windows 11,1.2,15,2024,Iridescent White
Samsung,Galaxy Book4 Ultra,Intel i9,32,1000,NVIDIA RTX 4070,Power/Design Work,2699.99,16,Windows 11,1.8,12,2024,Graphite
LG,Model 178,Apple M3,8,1000,NVIDIA RTX 3050,General Use,2414.44,16.4,Windows 11 Pro,2.89,14,2024,Gray
Lenovo,Model 196,Intel i9,64,256,NVIDIA RTX 3050,Productivity,1595.83,17.1,Windows 11 Pro,2.76,13,2024,White
Lenovo,Model 102,AMD Ryzen 5,16,2000,NVIDIA RTX 3060,Productivity,1686.25,13.4,Windows 11 Pro,2.52,7,2024,Graphite
Dell,Model 186,Apple M3,16,2000,Intel Iris Xe,General Use,3296.58,16.9,Windows 11,1.09,18,2024,Graphite
LG,Model 171,AMD Ryzen 5,16,2000,NVIDIA RTX 3060,Productivity,3146,14.6,Windows 11,1.82,8,2024,Blue
Microsoft,Model 191,Intel i9,64,256,Intel Iris Xe,Creative,2459.28,16.4,Windows 11,1.18,7,2024,Black
Lenovo,Model 166,AMD Ryzen 5,8,1000,NVIDIA RTX 3060,Business,2229.01,17.1,macOS,3.18,9,2024,Black
ASUS,Model 191,AMD Ryzen 5,32,1000,NVIDIA RTX 3060,Productivity,1502.07,15.3,Windows 11,3.3,17,2024,Black
Dell,Model 100,Intel i5,16,256,NVIDIA RTX 4080,Gaming,2162.92,13.1,macOS,2.04,9,2024,White
Apple,Model 139,Apple M2,16,1000,NVIDIA RTX 3060,Gaming,3267.68,13.3,Windows 11 Pro,3.42,6,2024,Graphite
Microsoft,Surface Laptop 5,Intel i7,16,512,Intel Iris Xe,Portability,1599.99,13.5,Windows 11,1.3,10,2024,Platinum
Dell,XPS 15 9520,Intel i9,32,1000,NVIDIA RTX 3050 Ti,Development,2399.99,15.6,Windows 11,2,8,2024,Frost
Apple,MacBook Pro 14 M2 Pro,Apple M2 Pro,16,512,Apple GPU,Development/Content Creation,1999,14.2,macOS,1.6,18,2024,Space Gray
Lenovo,ThinkPad X1 Carbon Gen 11,Intel i7,16,512,Intel Iris Xe,Business,2199,14,Windows 11,1.13,14,2024,Black
ASUS,ZenBook 14X OLED,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1499,14.5,Windows 11,1.4,10,2024,Ponder Blue
Acer,Predator Helios 16,Intel i9,32,2000,NVIDIA RTX 4060,Gaming/Workstation,2399.99,16,Windows 11,2.5,6,2024,Black
MSI,GE76 Raider,Intel i9,32,2000,NVIDIA RTX 3080,Gaming/Workstation,2899,17.3,Windows 11,2.8,5,2024,Black
Samsung,Galaxy Book Pro 360,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1499.99,13.3,Windows 11,1.2,12,2024,Mystic Navy
HP,Spectre x360 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1799,13.5,Windows 11,1.3,12,2024,Nightfall Black
Gigabyte,AORUS 15G,Intel i7,32,512,NVIDIA RTX 3060,Gaming,1699.99,15.6,Windows 11,2.1,8,2024,Black
Microsoft,Surface Book 4,Intel i7,16,512,NVIDIA GTX 1650,Professional,1799.99,13.5,Windows 11,1.7,12,2024,Platinum
Dell,Alienware m15 R7,Intel i9,32,1000,NVIDIA RTX 3070,Gaming,2299.99,15.6,Windows 11,2.5,8,2024,Dark Side of the Moon
Apple,MacBook Pro 16 M2 Max,Apple M2 Max,32,1024,Apple GPU,Content Creation,3499,16.2,macOS,2.2,21,2024,Silver
Lenovo,Legion 5 Pro,AMD Ryzen 7,16,1000,NVIDIA RTX 3070,Gaming,1799,16,Windows 11,2.4,10,2024,Phantom Blue
ASUS,ROG Zephyrus G14,AMD Ryzen 9,32,1000,NVIDIA RTX 3080,Gaming,2499,14,Windows 11,1.6,11,2024,Eclipse Gray
Acer,Nitro 5,Intel i7,16,512,NVIDIA RTX 3060,Gaming,1399,15.6,Windows 11,2.3,7,2024,Black
MSI,GS66 Stealth,Intel i7,16,512,NVIDIA RTX 3070,Gaming,2199,15.6,Windows 11,2.1,9,2024,Black
Samsung,Galaxy Book2 Pro 360,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1699.99,13.3,Windows 11,1.3,13,2024,Silver
HP,Elite Dragonfly G3,Intel i7,16,512,Intel Iris Xe,Business,2199,13.3,Windows 11,1.1,10,2024,Dragonfly Blue
Gigabyte,Aero 15 OLED,Intel i7,32,1000,NVIDIA RTX 3080,Content Creation,2499,15.6,Windows 11,2,8,2024,Space Gray
Microsoft,Surface Laptop 4,Intel i7,16,512,Intel Iris Xe,Productivity,1599.99,13.5,Windows 11,1.3,10,2024,Platinum
Dell,Precision 5760,Intel i9,32,1000,NVIDIA RTX A2000,Professional,2699.99,17,Windows 11,2,8,2024,Black
Apple,MacBook Pro 13 M2,Apple M2,16,512,Apple GPU,Professional,1799,13.3,macOS,1.4,18,2024,Space Gray
Lenovo,ThinkPad P1 Gen 5,Intel i9,32,1000,NVIDIA RTX A5000,Professional,3199.99,15.6,Windows 11,1.8,8,2024,Black
ASUS,TUF Gaming A15,AMD Ryzen 7,16,512,NVIDIA RTX 3060,Gaming,1299.99,15.6,Windows 11,2.3,8,2024,Fortress Gray
Acer,ConceptD 7,Intel i9,32,1000,NVIDIA RTX 3080,Content Creation,2599,15.6,Windows 11,2.4,9,2024,Pure White
MSI,Titan GT77,Intel i9,64,2000,NVIDIA RTX 4090,Gaming,4999,17.3,Windows 11,3,5,2024,Black
Samsung,Galaxy Book Pro 360,Intel i5,8,512,Intel Iris Xe,Hybrid Use,1299.99,13.3,Windows 11,1.2,12,2024,Mystic Navy
HP,Envy 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1499,14,Windows 11,1.5,10,2024,Silver
Gigabyte,G5,Intel i7,16,512,NVIDIA RTX 3050 Ti,Gaming,1399,15.6,Windows 11,2.1,8,2024,Black
Microsoft,Surface Pro 9,Intel i5,16,256,Intel Iris Xe,Portability,1299.99,13,Windows 11,0.9,13,2024,Platinum
Dell,Dell XPS 13 Plus,Intel i7,32,1000,Intel Iris Xe,Development,1999.99,13.4,Windows 11,1.2,12,2024,Graphite
Apple,MacBook Air M2,Apple M2,8,512,Apple GPU,Student Use,1199,13.6,macOS,1.2,15,2024,Midnight
Lenovo,Yoga 9i Gen 8,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1499.99,14,Windows 11,1.4,14,2024,Oatmeal
ASUS,Vivobook S 15 OLED,Intel i9,16,1000,NVIDIA RTX 3050,Content Creation,1699,15.6,Windows 11,1.8,9,2024,Cool Silver
Acer,Swift X 14,AMD Ryzen 7,16,512,NVIDIA RTX 3050,Graphic Design,1149,14,Windows 11,1.39,12,2024,Steel Gray
MSI,Creator Z16 HX Studio,Intel i9,32,2000,NVIDIA RTX 4070,3D Rendering,2999,16,Windows 11 Pro,2.35,7,2024,Lunar Gray
Samsung,Galaxy Book3 Ultra,Intel i7,32,1000,NVIDIA RTX 4050,High-End Work,2499.99,16,Windows 11,1.8,14,2024,Graphite
HP,Omen Transcend 16,Intel i7,32,1000,NVIDIA RTX 4070,Gaming/Workstation,2099.99,16.1,Windows 11,2.1,8,2024,Shadow Black
Gigabyte,G5 KF,Intel i5,16,512,NVIDIA RTX 4060,Mid-Level Gaming,999.99,15.6,Windows 11,2,9,2024,Charcoal Gray
Microsoft,Surface Laptop 4,Intel i7,16,512,Intel Iris Xe,Productivity,1599.99,13.5,Windows 11,1.3,10,2024,Platinum
Dell,Alienware m15 R7,Intel i9,32,1000,NVIDIA RTX 3070,Gaming,2299.99,15.6,Windows 11,2.5,8,2024,Dark Moon
Apple,MacBook Pro 16 M2 Max,Apple M2 Max,32,1024,Apple GPU,Content Creation,3499,16.2,macOS,2.2,21,2024,Silver
Lenovo,ThinkPad P1 Gen 5,Intel i9,32,1000,NVIDIA RTX A5000,Professional,3199.99,15.6,Windows 11,1.8,8,2024,Black
ASUS,TUF Gaming A15,AMD Ryzen 7,16,512,NVIDIA RTX 3060,Gaming,1299.99,15.6,Windows 11,2.3,8,2024,Fortress Gray
Acer,ConceptD 7,Intel i9,32,1000,NVIDIA RTX 3080,Content Creation,2599,15.6,Windows 11,2.4,9,2024,Pure White
MSI,Titan GT77,Intel i9,64,2000,NVIDIA RTX 4090,Gaming,4999,17.3,Windows 11,3,5,2024,Black
Samsung,Galaxy Book Pro 360,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1699.99,13.3,Windows 11,1.3,13,2024,Mystic Navy
HP,Envy 14,Intel i7,16,512,Intel Iris Xe,Hybrid Use,1499,14,Windows 11,1.5,10,2024,Silver
Gigabyte,G5,Intel i7,16,512,NVIDIA RTX 3050 Ti,Gaming,1399,15.6,Windows 11,2.1,8,2024,Black
